Категория UI,Отображаемое имя,Ключ эффекта,Уровень,Поле базы,Класс,Специализация,Роль,Исходное значение,Источник кода
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Ranger,Archery,Рейндж/кастер,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,30% Bleed Damage,Bleed Dmg Taken (30%),Спек,specDebuffs,Ranger,Archery,Рейндж/кастер,Bleed Dmg Taken (30%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Ranger,Archery,Рейндж/кастер,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Ranger,Farstrider,Саппорт,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Ranger,Farstrider,Саппорт,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Ranger,Farstrider,Саппорт,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Ranger,Farstrider,Саппорт,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Armor,Armor (Devo),Спек,specBuffs,Ranger,Farstrider,Саппорт,Armor (Devo),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Heroism | Bloodlust,Heroism,Спек,specBuffs,Ranger,Farstrider,Саппорт,Heroism,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Ranger,Farstrider,Саппорт,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Ranger,Farstrider,Саппорт,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Reaper,Soul,Мили-DPS,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Reaper,Soul,Мили-DPS,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Reaper,Soul,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Reaper,Soul,Мили-DPS,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Reaper,Soul,Мили-DPS,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Reaper,Soul,Мили-DPS,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Reaper,Harvest,Мили-DPS,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Reaper,Harvest,Мили-DPS,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Reaper,Harvest,Мили-DPS,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Reaper,Harvest,Мили-DPS,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Reaper,Harvest,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Reaper,Harvest,Мили-DPS,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Reaper,Harvest,Мили-DPS,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Small Resistances (all),Small All Resist,Класс,classBuffs,Reaper,Domination,Танк,Small All Resist,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Reaper,Domination,Танк,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Strength,Flat Strength,Класс,classBuffs,Reaper,Domination,Танк,Flat Strength,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Reaper,Domination,Танк,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Reaper,Domination,Танк,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,4% Physical Damage,Phys Dmg Taken (4%),Спек,specDebuffs,Reaper,Domination,Танк,Phys Dmg Taken (4%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Reaper,Domination,Танк,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Reaper,Domination,Танк,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Runemaster,Glyphic,Рейндж/кастер,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Runemaster,Glyphic,Рейндж/кастер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Runemaster,Glyphic,Рейндж/кастер,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Runemaster,Glyphic,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Runemaster,Glyphic,Рейндж/кастер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Runemaster,Glyphic,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Runemaster,Glyphic,Рейндж/кастер,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Runemaster,Glyphic,Рейндж/кастер,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Runemaster,Glyphic,Рейндж/кастер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Runemaster,Glyphic,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Runemaster,Glyphic,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Runemaster,Riftblade,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Runemaster,Riftblade,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Runemaster,Riftblade,Мили-DPS,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Runemaster,Riftblade,Мили-DPS,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Runemaster,Riftblade,Мили-DPS,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Runemaster,Riftblade,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Runemaster,Riftblade,Мили-DPS,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Runemaster,Riftblade,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Runemaster,Riftblade,Мили-DPS,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Runemaster,Riftblade,Мили-DPS,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Runemaster,Riftblade,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Stats,Stats % (Kings),Класс,classBuffs,Runemaster,Engravement,Мили-DPS,Stats % (Kings),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Runemaster,Engravement,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,5% Resource Reduction,Cost Reduction (5%),Класс,classBuffs,Runemaster,Engravement,Мили-DPS,Cost Reduction (5%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Runemaster,Engravement,Мили-DPS,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Runemaster,Engravement,Мили-DPS,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Runemaster,Engravement,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Nature Resistance,Nature,Класс,classResists,Runemaster,Engravement,Мили-DPS,Nature,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Arcane Resistance,Arcane,Класс,classResists,Runemaster,Engravement,Мили-DPS,Arcane,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,10% Melee & Range Haste,Melee/Range Haste (10%),Спек,specBuffs,Runemaster,Engravement,Мили-DPS,Melee/Range Haste (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Runemaster,Engravement,Мили-DPS,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Runemaster,Engravement,Мили-DPS,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Runemaster,Engravement,Мили-DPS,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Chronomancer,Time,Хилер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Chronomancer,Time,Хилер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Chronomancer,Time,Хилер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Chronomancer,Time,Хилер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Chronomancer,Time,Хилер,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Chronomancer,Time,Хилер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Reduction (all),Dmg Reduct(-3%),Спек,specBuffs,Chronomancer,Time,Хилер,Dmg Reduct(-3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Chronomancer,Infinite,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Chronomancer,Infinite,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Chronomancer,Infinite,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Chronomancer,Infinite,Рейндж/кастер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Chronomancer,Infinite,Рейндж/кастер,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Chronomancer,Infinite,Рейндж/кастер,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Hit,Spell Hit (3%) DEBUFF,Спек,specDebuffs,Chronomancer,Infinite,Рейндж/кастер,Spell Hit (3%) DEBUFF,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Chronomancer,Infinite,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specDebuffs,Chronomancer,Infinite,Рейндж/кастер,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Intellect,Flat Intellect,Класс,classBuffs,Chronomancer,Artificer,Рейндж/кастер,Flat Intellect,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Chronomancer,Artificer,Рейндж/кастер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Strong Mana Cooldown,Burst Mana,Класс,classBuffs,Chronomancer,Artificer,Рейндж/кастер,Burst Mana,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Amplify Magic,Amplify Magic,Класс,classBuffs,Chronomancer,Artificer,Рейндж/кастер,Amplify Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Dampen Magic,Dampen Magic,Класс,classBuffs,Chronomancer,Artificer,Рейндж/кастер,Dampen Magic,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Chronomancer,Artificer,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Chronomancer,Artificer,Рейндж/кастер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Chronomancer,Artificer,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,3% Hit Reduction,Insect Swarm Hit (3%),Спек,specDebuffs,Chronomancer,Artificer,Рейндж/кастер,Insect Swarm Hit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Necromancer,Animation,Рейндж/кастер,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Necromancer,Animation,Рейндж/кастер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Necromancer,Animation,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Damage Done (all),All Damage Done (3%),Спек,specBuffs,Necromancer,Animation,Рейндж/кастер,All Damage Done (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Necromancer,Animation,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Necromancer,Animation,Рейндж/кастер,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Necromancer,Animation,Рейндж/кастер,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Necromancer,Animation,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Necromancer,Death,Рейндж/кастер,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Necromancer,Death,Рейндж/кастер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Necromancer,Death,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,3% Spell Haste,Spell Haste (3%),Спек,specBuffs,Necromancer,Death,Рейндж/кастер,Spell Haste (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Necromancer,Death,Рейндж/кастер,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Necromancer,Death,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Necromancer,Death,Рейндж/кастер,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Necromancer,Death,Рейндж/кастер,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Necromancer,Death,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Stamina,Stamina (Fort),Класс,classBuffs,Necromancer,Rime,Рейндж/кастер,Stamina (Fort),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spell Power,Spell Power Flat,Класс,classBuffs,Necromancer,Rime,Рейндж/кастер,Spell Power Flat,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Necromancer,Rime,Рейндж/кастер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,3% Critical Strike (all),All Crit (3%),Спек,specBuffs,Necromancer,Rime,Рейндж/кастер,All Crit (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specBuffs,Necromancer,Rime,Рейндж/кастер,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Healing Reduction,Healing Reduc (30-50%),Спек,specDebuffs,Necromancer,Rime,Рейндж/кастер,Healing Reduc (30-50%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические дебафы,Armor Reduction,% Armor Debuff,Спек,specDebuffs,Necromancer,Rime,Рейндж/кастер,% Armor Debuff,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Power Reduction,Attack Power Reduction,Спек,specDebuffs,Necromancer,Rime,Рейндж/кастер,Attack Power Reduction,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Attack Speed Slow,Attack Speed (Slow),Спек,specDebuffs,Necromancer,Rime,Рейндж/кастер,Attack Speed (Slow),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Venomancer,Stalking,Мили-DPS,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Venomancer,Stalking,Мили-DPS,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Venomancer,Stalking,Мили-DPS,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Venomancer,Stalking,Мили-DPS,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,3% Spell Critical Strike Chance,Spell Crit Taken Debuff (3%),Спек,specBuffs,Venomancer,Stalking,Мили-DPS,Spell Crit Taken Debuff (3%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-дебафы,Cast Speed Slow,Cast Slow 30%,Спек,specBuffs,Venomancer,Stalking,Мили-DPS,Cast Slow 30%,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Магические дебафы,10% Spell Damage,Spell Dmg Taken (10%),Спек,specDebuffs,Venomancer,Stalking,Мили-DPS,Spell Dmg Taken (10%),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Minor Armor and All Stats,Stats Flat + Armor (MotW),Класс,classBuffs,Venomancer,Vizier,Хилер,Stats Flat + Armor (MotW),https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Физические бафы,Agility,Flat Agility,Класс,classBuffs,Venomancer,Vizier,Хилер,Flat Agility,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Spirit,Flat Spirit,Класс,classBuffs,Venomancer,Vizier,Хилер,Flat Spirit,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,Fire Resistance,Fire,Класс,classResists,Venomancer,Vizier,Хилер,Fire,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Утилити-бафы,6% Healing Done,6% Healing Taken,Спек,specBuffs,Venomancer,Vizier,Хилер,6% Healing Taken,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
Кастерские бафы,Replenishment,Replenishment,Спек,specBuffs,Venomancer,Vizier,Хилер,Replenishment,https://github.com/TheAscOrg/coa-raid-comp-calculator/blob/main/src/data/raidData.js
